Customer ID,Purchase Date,Product Category,Product Price,Customer Age,Gender,Quantity,Total Purchase Amount,Payment Method,Returns,Customer Name,Age,Churn
44605,2023-05-03,Home,177,31,Female,1,2427,PayPal,1.0,John Rivera,31,0
44605,2021-05-16,Electronics,174,31,Female,3,2448,PayPal,1.0,John Rivera,31,0
44605,2020-07-13,Books,413,31,Female,1,2345,Credit Card,1.0,John Rivera,31,0
44605,2023-01-17,Electronics,396,31,Female,3,937,Cash,0.0,John Rivera,31,0
44605,2021-05-01,Books,259,31,Female,4,2598,PayPal,1.0,John Rivera,31,0
13738,2022-08-25,Home,191,27,Female,3,3722,Credit Card,1.0,Lauren Johnson,27,0
13738,2023-07-25,Electronics,205,27,Female,1,2773,Credit Card,,Lauren Johnson,27,0
13738,2023-02-05,Books,370,27,Female,5,1486,Cash,1.0,Lauren Johnson,27,0
13738,2021-12-21,Home,12,27,Female,2,2175,Cash,,Lauren Johnson,27,0
13738,2023-02-09,Electronics,40,27,Female,4,4327,Cash,0.0,Lauren Johnson,27,0
33969,2023-02-28,Clothing,410,27,Male,3,5018,Credit Card,,Carol Allen,27,0
33969,2023-01-05,Home,304,27,Male,1,3883,PayPal,1.0,Carol Allen,27,0
33969,2023-07-18,Books,54,27,Male,2,4187,PayPal,0.0,Carol Allen,27,0
33969,2021-12-20,Electronics,428,27,Male,4,2289,Cash,0.0,Carol Allen,27,0
33969,2020-03-07,Books,281,27,Male,1,3810,Cash,0.0,Carol Allen,27,0
33969,2022-07-21,Home,193,27,Male,2,3198,Credit Card,0.0,Carol Allen,27,0
33969,2023-07-05,Clothing,473,27,Male,3,2881,Credit Card,1.0,Carol Allen,27,0
42650,2020-10-18,Books,127,20,Female,5,3347,Cash,0.0,Curtis Smith,20,0
42650,2020-05-17,Home,284,20,Female,2,3531,Credit Card,1.0,Curtis Smith,20,0
42650,2022-03-18,Electronics,256,20,Female,2,3548,Credit Card,0.0,Curtis Smith,20,0
42650,2021-04-21,Clothing,252,20,Female,2,1775,Credit Card,1.0,Curtis Smith,20,0
42650,2022-01-26,Electronics,105,20,Female,2,3721,Credit Card,,Curtis Smith,20,0
42650,2020-11-11,Electronics,193,20,Female,2,3266,PayPal,1.0,Curtis Smith,20,0
42650,2023-04-29,Home,43,20,Female,1,2312,Cash,0.0,Curtis Smith,20,0
42650,2022-07-04,Home,30,20,Female,5,642,PayPal,1.0,Curtis Smith,20,0
42650,2021-08-01,Electronics,30,20,Female,3,5024,Credit Card,1.0,Curtis Smith,20,0
42650,2020-05-24,Electronics,307,20,Female,3,973,PayPal,,Curtis Smith,20,0
42650,2022-03-24,Electronics,254,20,Female,1,3865,PayPal,0.0,Curtis Smith,20,0
42650,2022-09-02,Books,12,20,Female,3,3112,Cash,1.0,Curtis Smith,20,0
42650,2021-11-14,Books,66,20,Female,3,250,PayPal,1.0,Curtis Smith,20,0
24053,2020-11-17,Electronics,102,53,Male,2,5206,Credit Card,1.0,Jose Green,53,0
24053,2021-05-07,Books,187,53,Male,5,629,PayPal,1.0,Jose Green,53,0
